exp_id,angle(degree),vel(m/s)
1,0,4
2,5,4
3,10,4
4,15,4
5,20,4
6,25,4
7,30,4
8,35,4
9,40,4
10,45,4
11,50,4
12,55,4
13,60,4
14,65,4
15,70,4
16,75,4
17,80,4
18,85,4
19,90,4
20,95,4
21,100,4
22,105,4
23,110,4
24,115,4
25,120,4
26,125,4
27,130,4
28,135,4
29,140,4
30,145,4
31,150,4
32,155,4
33,160,4
34,165,4
35,170,4
36,175,4
37,180,4
38,185,4
39,190,4
40,195,4
41,200,4
42,205,4
43,210,4
44,215,4
45,220,4
46,225,4
47,230,4
48,235,4
49,240,4
50,245,4
51,250,4
52,255,4
53,260,4
54,265,4
55,270,4
56,275,4
57,280,4
58,285,4
59,290,4
60,295,4
61,300,4
62,305,4
63,310,4
64,315,4
65,320,4
66,325,4
67,330,4
68,335,4
69,340,4
70,345,4
71,350,4
72,355,4
73,0,4.5
74,5,4.5
75,10,4.5
76,15,4.5
77,20,4.5
78,25,4.5
79,30,4.5
80,35,4.5
81,40,4.5
82,45,4.5
83,50,4.5
84,55,4.5
85,60,4.5
86,65,4.5
87,70,4.5
88,75,4.5
89,80,4.5
90,85,4.5
91,90,4.5
92,95,4.5
93,100,4.5
94,105,4.5
95,110,4.5
96,115,4.5
97,120,4.5
98,125,4.5
99,130,4.5
100,135,4.5
101,140,4.5
102,145,4.5
103,150,4.5
104,155,4.5
105,160,4.5
106,165,4.5
107,170,4.5
108,175,4.5
109,180,4.5
110,185,4.5
111,190,4.5
112,195,4.5
113,200,4.5
114,205,4.5
115,210,4.5
116,215,4.5
117,220,4.5
118,225,4.5
119,230,4.5
120,235,4.5
121,240,4.5
122,245,4.5
123,250,4.5
124,255,4.5
125,260,4.5
126,265,4.5
127,270,4.5
128,275,4.5
129,280,4.5
130,285,4.5
131,290,4.5
132,295,4.5
133,300,4.5
134,305,4.5
135,310,4.5
136,315,4.5
137,320,4.5
138,325,4.5
139,330,4.5
140,335,4.5
141,340,4.5
142,345,4.5
143,350,4.5
144,355,4.5
145,0,5
146,5,5
147,10,5
148,15,5
149,20,5
150,25,5
151,30,5
152,35,5
153,40,5
154,45,5
155,50,5
156,55,5
157,60,5
158,65,5
159,70,5
160,75,5
161,80,5
162,85,5
163,90,5
164,95,5
165,100,5
166,105,5
167,110,5
168,115,5
169,120,5
170,125,5
171,130,5
172,135,5
173,140,5
174,145,5
175,150,5
176,155,5
177,160,5
178,165,5
179,170,5
180,175,5
181,180,5
182,185,5
183,190,5
184,195,5
185,200,5
186,205,5
187,210,5
188,215,5
189,220,5
190,225,5
191,230,5
192,235,5
193,240,5
194,245,5
195,250,5
196,255,5
197,260,5
198,265,5
199,270,5
200,275,5
201,280,5
202,285,5
203,290,5
204,295,5
205,300,5
206,305,5
207,310,5
208,315,5
209,320,5
210,325,5
211,330,5
212,335,5
213,340,5
214,345,5
215,350,5
216,355,5
217,0,5.5
218,5,5.5
219,10,5.5
220,15,5.5
221,20,5.5
222,25,5.5
223,30,5.5
224,35,5.5
225,40,5.5
226,45,5.5
227,50,5.5
228,55,5.5
229,60,5.5
230,65,5.5
231,70,5.5
232,75,5.5
233,80,5.5
234,85,5.5
235,90,5.5
236,95,5.5
237,100,5.5
238,105,5.5
239,110,5.5
240,115,5.5
241,120,5.5
242,125,5.5
243,130,5.5
244,135,5.5
245,140,5.5
246,145,5.5
247,150,5.5
248,155,5.5
249,160,5.5
250,165,5.5
251,170,5.5
252,175,5.5
253,180,5.5
254,185,5.5
255,190,5.5
256,195,5.5
257,200,5.5
258,205,5.5
259,210,5.5
260,215,5.5
261,220,5.5
262,225,5.5
263,230,5.5
264,235,5.5
265,240,5.5
266,245,5.5
267,250,5.5
268,255,5.5
269,260,5.5
270,265,5.5
271,270,5.5
272,275,5.5
273,280,5.5
274,285,5.5
275,290,5.5
276,295,5.5
277,300,5.5
278,305,5.5
279,310,5.5
280,315,5.5
281,320,5.5
282,325,5.5
283,330,5.5
284,335,5.5
285,340,5.5
286,345,5.5
287,350,5.5
288,355,5.5
289,0,6
290,5,6
291,10,6
292,15,6
293,20,6
294,25,6
295,30,6
296,35,6
297,40,6
298,45,6
299,50,6
300,55,6
301,60,6
302,65,6
303,70,6
304,75,6
305,80,6
306,85,6
307,90,6
308,95,6
309,100,6
310,105,6
311,110,6
312,115,6
313,120,6
314,125,6
315,130,6
316,135,6
317,140,6
318,145,6
319,150,6
320,155,6
321,160,6
322,165,6
323,170,6
324,175,6
325,180,6
326,185,6
327,190,6
328,195,6
329,200,6
330,205,6
331,210,6
332,215,6
333,220,6
334,225,6
335,230,6
336,235,6
337,240,6
338,245,6
339,250,6
340,255,6
341,260,6
342,265,6
343,270,6
344,275,6
345,280,6
346,285,6
347,290,6
348,295,6
349,300,6
350,305,6
351,310,6
352,315,6
353,320,6
354,325,6
355,330,6
356,335,6
357,340,6
358,345,6
359,350,6
360,355,6
361,0,6.5
362,5,6.5
363,10,6.5
364,15,6.5
365,20,6.5
366,25,6.5
367,30,6.5
368,35,6.5
369,40,6.5
370,45,6.5
371,50,6.5
372,55,6.5
373,60,6.5
374,65,6.5
375,70,6.5
376,75,6.5
377,80,6.5
378,85,6.5
379,90,6.5
380,95,6.5
381,100,6.5
382,105,6.5
383,110,6.5
384,115,6.5
385,120,6.5
386,125,6.5
387,130,6.5
388,135,6.5
389,140,6.5
390,145,6.5
391,150,6.5
392,155,6.5
393,160,6.5
394,165,6.5
395,170,6.5
396,175,6.5
397,180,6.5
398,185,6.5
399,190,6.5
400,195,6.5
401,200,6.5
402,205,6.5
403,210,6.5
404,215,6.5
405,220,6.5
406,225,6.5
407,230,6.5
408,235,6.5
409,240,6.5
410,245,6.5
411,250,6.5
412,255,6.5
413,260,6.5
414,265,6.5
415,270,6.5
416,275,6.5
417,280,6.5
418,285,6.5
419,290,6.5
420,295,6.5
421,300,6.5
422,305,6.5
423,310,6.5
424,315,6.5
425,320,6.5
426,325,6.5
427,330,6.5
428,335,6.5
429,340,6.5
430,345,6.5
431,350,6.5
432,355,6.5
433,0,7
434,5,7
435,10,7
436,15,7
437,20,7
438,25,7
439,30,7
440,35,7
441,40,7
442,45,7
443,50,7
444,55,7
445,60,7
446,65,7
447,70,7
448,75,7
449,80,7
450,85,7
451,90,7
452,95,7
453,100,7
454,105,7
455,110,7
456,115,7
457,120,7
458,125,7
459,130,7
460,135,7
461,140,7
462,145,7
463,150,7
464,155,7
465,160,7
466,165,7
467,170,7
468,175,7
469,180,7
470,185,7
471,190,7
472,195,7
473,200,7
474,205,7
475,210,7
476,215,7
477,220,7
478,225,7
479,230,7
480,235,7
481,240,7
482,245,7
483,250,7
484,255,7
485,260,7
486,265,7
487,270,7
488,275,7
489,280,7
490,285,7
491,290,7
492,295,7
493,300,7
494,305,7
495,310,7
496,315,7
497,320,7
498,325,7
499,330,7
500,335,7
501,340,7
502,345,7
503,350,7
504,355,7
505,0,7.5
506,5,7.5
507,10,7.5
508,15,7.5
509,20,7.5
510,25,7.5
511,30,7.5
512,35,7.5
513,40,7.5
514,45,7.5
515,50,7.5
516,55,7.5
517,60,7.5
518,65,7.5
519,70,7.5
520,75,7.5
521,80,7.5
522,85,7.5
523,90,7.5
524,95,7.5
525,100,7.5
526,105,7.5
527,110,7.5
528,115,7.5
529,120,7.5
530,125,7.5
531,130,7.5
532,135,7.5
533,140,7.5
534,145,7.5
535,150,7.5
536,155,7.5
537,160,7.5
538,165,7.5
539,170,7.5
540,175,7.5
541,180,7.5
542,185,7.5
543,190,7.5
544,195,7.5
545,200,7.5
546,205,7.5
547,210,7.5
548,215,7.5
549,220,7.5
550,225,7.5
551,230,7.5
552,235,7.5
553,240,7.5
554,245,7.5
555,250,7.5
556,255,7.5
